categories,edition,pct
tech,2006,3.03
business,2006,9.09
multimedia,2006,3.03
tools,2006,3.03
audience,2006,0
social,2006,0
topic,2006,9.09
careers,2006,3.03
data,2006,0
web,2006,9.09
academic,2006,3.03
future-trends,2006,9.09
tech,2017,17.86
business,2017,9.52
multimedia,2017,5.95
tools,2017,4.76
audience,2017,14.29
social,2017,5.95
topic,2017,4.76
careers,2017,9.52
data,2017,3.57
web,2017,1.19
academic,2017,4.76
future-trends,2017,1.19
