link,edition,track,location,hashtag,date,session,day,hour,categories
https://ona2010.sched.com/event/2egq/content-sharing-through-apis,2010,Tools,Congressional A-B,#apis,"Friday October 29, 2010 10:15am - 11:15am",Content-Sharing Through APIs,Friday,"NA","apis, programming"
https://ona2010.sched.com/event/2ehM/apple-dslr-video-workflow-using-final-cut-pro-and-color,2010,J-Camp,Room 13,#apple,"Saturday October 30, 2010  4:30pm -  5:30pm",Apple: DSLR Video Workflow Using Final Cut Pro and Color,Saturday,"NA","apple, video"
https://ona2010.sched.com/event/2ctK/apple-final-cut-studio-real-world-editing,2010,J-Camp,Room 13,#apple,"Saturday October 30, 2010 12:45pm -  1:45pm",Apple: Final Cut Studio -- Real World Editing,Saturday,"NA","apple, video"
https://ona2010.sched.com/event/2ehH/apple-making-it-move-intro-to-motion,2010,J-Camp,Room 13,#apple,"Saturday October 30, 2010  2:00pm -  3:00pm",Apple: Making It Move -- Intro to Motion,Saturday,"NA","apple, video"
https://ona16.journalists.org/sessions/lockscreenstory/,2016,Mobile Tools + Design Track,Centennial Ballroom B,#ONA16lock,Thursday - 2:30 PM - 3:30 PM,Storytelling from the Smartphone Lock Screen,Thursday,"NA","apps, mobile"
https://ona13.journalists.org/sessions/building-apps-in-wp/,2013,Workshop,401,#appswp,Thursday - 11:45 AM - 12:45 PM,Building Apps in WordPress,Thursday,"NA","apps, wordpress"
https://ona17.journalists.org/sessions/midway5/,2017,Newsgathering Tools + Techniques Track,Washington 6,#ONA17MW,Friday – 10:00 AM – 11:00 AM,Digital Interaction with News: How to Use AI and Bots in Your Newsroom [Midway],Friday,"NA","chatbots, AI"
https://ona16.journalists.org/sessions/auddev/,2016,Audience Engagement + Analytics Track,Centennial Ballroom F,#ONA16aud,Saturday - 11:30 AM - 12:30 PM,Developing the Audience You Don’t Have,Saturday,"NA",audience
NA,2008,Be an Evangelist,Pan American Room,NA,NA,Mobilize Your Audience!,NA,"NA",audience
https://ona16.journalists.org/sessions/unconference3/,2016,Newsgathering Tools + Techniques Track,Cenntennial Ballroom G,#ONAuncon,Saturday - 4:00 PM - 5:00 PM,"[Unconference] Session 3 Engagement is Relational, Not Transactional",Saturday,"NA",audience
